Product_ID,links,title,short_title,price,description,Date_Time
23,https://www.bakingo.com/sites/default/files/styles/might_like/public/white-forest-cake-A.jpg?itok=hwclHDLR,White Paradesia,White Forest Cake,Rs. 475,With Milk chocolate shavings and cream that looks fabulous in white - This is a dedication to the Milk Lovers!,2018-02-24 21:04:25.459924
24,https://www.bakingo.com/sites/default/files/styles/might_like/public/kit-kat-cake-A.jpg?itok=JPScqrmA,"Kit Kat ""Bake""",Kit Kat Cake,Rs. 550,You'll fall in love at first bite! Deviate to the contours of crunchy goodness with the jaw dropping kit-kat bake!,2018-02-24 21:04:25.459924
25,https://www.bakingo.com/sites/default/files/styles/might_like/public/oreo-chocolate-cake-A.jpg?itok=r9feRWJB,Oreoholic'S Delight,Oreo Choco Cake,Rs. 525,Redefining taste of Original Oreo with a kick of extra rich chocolate and freshly whipped cream. Taste the Passion!,2018-02-24 21:04:25.459924
26,https://www.bakingo.com/sites/default/files/styles/might_like/public/chocolate-light-cake-A.jpg?itok=DU5Xt6lw,Exquisite Chocolate Gateau,Chocolate Light Cake,Rs. 550,This scrumptious chocolate cake is for all the ones who can't get over their chocolate addiction.,2018-02-24 21:04:25.460425
27,https://www.bakingo.com/sites/default/files/styles/might_like/public/kiwi-fruit-cake-A.jpg?itok=r9Ge4lSg,Kiwi-Licious,Kiwi Fruit Cake,Rs. 600,Slip into a slice and enter the world of exotica especially meant for the Kiwi Lovers who just can't get enough.,2018-02-24 21:04:25.460425
28,https://www.bakingo.com/sites/default/files/styles/might_like/public/Hues%20Of%20Love-2018-02-11-A.jpg?itok=pYm-ioVW,Hues Of Love,Red Velvet Heart Cake,Rs. 699,This captivating and lusciously rich red velvet cake will show you the way to your beloved’s heart.,2018-02-24 21:04:25.460425
29,https://www.bakingo.com/sites/default/files/styles/might_like/public/love-happiness-cake0369vani-310118-A.jpg?itok=Dnf4jnoV,Love Happiness,Vanilla Funfetti Cake,Rs. 499,You're gonna jump in joy in a single bite of this scrumptious cake full of fun.,2018-02-24 21:04:25.460425
30,https://www.bakingo.com/sites/default/files/styles/might_like/public/cherry-bomb-cake0370blac-310118-A.jpg?itok=VxFk5lS5,Cherry Bomb,Black Forest Red Heart Cake,Rs. 549,Bake their heart faster with lashings of cherries and fondant heart so big that one bite would never be enough.,2018-02-24 21:04:25.460425
31,https://www.bakingo.com/sites/default/files/styles/might_like/public/imploding-beauty-cake0371redv-310118-A.jpg?itok=YtUyaKXX,Imploding Beauty,Red Velvet with Fondant Heart Cake,Rs. 549,Can't wait to feed your sweet soul? Go ahead with a cake brimming with love so red.,2018-02-24 21:04:25.460425
32,https://www.bakingo.com/sites/default/files/styles/might_like/public/cherry-pool-cake0361blac-310118-A.jpg?itok=e7Kk6XnA,Cherry Pool,Black Forest with Heart Cake,Rs. 549,Delve into the sweetest symphony and experience the deliciousness infused with luxurious finesse.,2018-02-24 21:04:25.460425
